#(id,from,to,speed,planTime, priority, preset)
(91540, 1673, 321, 4, 61, 0, 0)
(29501, 935, 851, 16, 150, 0, 0)
(104132, 168, 1153, 12, 120, 0, 0)
(30464, 380, 841, 14, 29, 1, 0)
(68390, 1011, 1913, 16, 110, 0, 0)
(99296, 857, 31, 4, 40, 0, 0)
(55094, 240, 1844, 4, 192, 0, 0)
(20064, 1425, 1245, 14, 169, 0, 0)
(46165, 776, 1218, 6, 194, 1, 0)
(61763, 97, 1672, 6, 188, 0, 0)
(101679, 470, 1600, 4, 84, 0, 1)
(101077, 1153, 69, 10, 173, 0, 0)
(32517, 674, 109, 10, 58, 1, 0)
(51988, 1765, 168, 12, 25, 0, 0)
(93022, 1673, 857, 14, 174, 0, 0)
(103473, 1130, 168, 6, 166, 0, 0)
(32921, 450, 10, 8, 161, 0, 0)
(49156, 1672, 924, 6, 89, 0, 0)
(49772, 321, 90, 4, 194, 0, 0)
(72745, 428, 898, 10, 107, 0, 0)
(103909, 904, 744, 10, 179, 1, 0)
(77990, 1755, 391, 14, 60, 0, 0)
(58583, 837, 1675, 14, 4, 0, 0)
(56656, 189, 1765, 12, 33, 0, 0)
(70267, 111, 332, 10, 48, 0, 0)
(95872, 1108, 1985, 14, 34, 0, 0)
(86317, 1302, 189, 6, 185, 0, 0)
(106453, 1992, 851, 12, 118, 1, 0)
(41351, 1906, 371, 14, 106, 1, 0)
(42536, 679, 766, 4, 166, 0, 0)
(25443, 1245, 915, 16, 85, 0, 0)
(16270, 1222, 421, 14, 70, 0, 0)
(61586, 1755, 504, 8, 75, 0, 0)
(40733, 1985, 1846, 6, 103, 0, 0)
(102936, 1875, 731, 12, 99, 1, 0)
(106120, 1805, 376, 14, 32, 0, 0)
(12551, 1600, 898, 14, 161, 0, 0)
(14339, 1320, 915, 16, 188, 0, 0)
(24973, 1805, 898, 6, 7, 0, 0)
(56874, 904, 935, 10, 7, 0, 0)
(96293, 111, 375, 16, 18, 1, 0)
(11650, 153, 935, 10, 68, 0, 0)
(80229, 421, 1608, 6, 22, 0, 0)
(26500, 259, 203, 16, 176, 0, 0)
(47384, 1844, 979, 6, 132, 0, 0)
(108289, 1302, 1758, 4, 73, 0, 0)
(104168, 1969, 851, 4, 121, 0, 0)
(91632, 1261, 450, 4, 1, 0, 0)
(86372, 179, 471, 14, 28, 1, 0)
(18970, 247, 1425, 14, 102, 0, 0)
(102829, 1905, 48, 8, 49, 0, 0)
(75942, 841, 1755, 12, 143, 0, 0)
(105748, 1459, 674, 12, 150, 0, 0)
(73301, 487, 766, 4, 40, 0, 0)
(51553, 554, 380, 8, 132, 0, 0)
(52764, 48, 419, 14, 146, 0, 0)
(45673, 153, 935, 14, 68, 0, 0)
(51448, 1108, 851, 4, 133, 0, 0)
(73432, 450, 935, 8, 158, 0, 0)
(60134, 1804, 851, 8, 85, 0, 0)
(31435, 1222, 857, 16, 113, 0, 0)
(54320, 1985, 473, 6, 121, 1, 0)
(31407, 1992, 1672, 4, 168, 0, 0)
(105821, 1600, 776, 6, 198, 1, 0)
(108957, 1240, 1906, 10, 70, 0, 0)
(101517, 807, 31, 14, 184, 0, 0)
(41243, 375, 405, 6, 81, 0, 0)
(41389, 335, 1765, 12, 143, 0, 0)
(14857, 1905, 1846, 12, 129, 0, 1)
(80402, 10, 710, 4, 163, 0, 0)
(78149, 1970, 674, 4, 44, 0, 0)
(94111, 776, 397, 10, 108, 0, 0)
(22536, 898, 74, 4, 48, 0, 0)
(90437, 473, 380, 14, 135, 0, 0)
(34141, 1011, 935, 6, 95, 0, 0)
(92668, 1696, 375, 4, 105, 0, 0)
(53884, 1261, 898, 16, 17, 0, 0)
(74254, 397, 168, 16, 109, 1, 0)
(80049, 1337, 380, 16, 134, 0, 0)
(10180, 935, 100, 12, 88, 0, 1)
(69927, 1960, 1970, 8, 185, 0, 0)
(75915, 924, 428, 8, 9, 1, 0)
(69744, 439, 1408, 8, 51, 1, 0)
(33029, 450, 1608, 14, 197, 0, 0)
(21692, 269, 651, 12, 170, 0, 0)
(35085, 303, 600, 16, 77, 0, 0)
(10082, 1673, 841, 16, 55, 0, 0)
(25601, 439, 380, 8, 76, 0, 0)
(41968, 297, 1911, 10, 169, 0, 0)
(29074, 554, 1528, 16, 175, 0, 0)
(75518, 376, 1760, 4, 146, 1, 0)
(80215, 1459, 898, 14, 61, 0, 0)
(99619, 1459, 857, 6, 77, 0, 0)
(67085, 1133, 1651, 10, 155, 0, 0)
(47079, 1302, 1083, 10, 102, 0, 0)
(31309, 1911, 297, 6, 37, 0, 0)
(86599, 1608, 321, 4, 122, 1, 0)
(61129, 345, 674, 10, 128, 0, 0)
(10020, 504, 1960, 10, 132, 0, 1)
(104305, 1575, 109, 4, 16, 0, 0)
(54432, 321, 1425, 16, 72, 0, 0)
(58764, 1675, 1846, 6, 96, 0, 0)
(75078, 674, 1424, 4, 10, 1, 0)
(53426, 10, 259, 14, 117, 0, 0)
(21546, 520, 335, 12, 142, 1, 0)
(43371, 1451, 371, 8, 196, 0, 0)
(41875, 1108, 1153, 4, 4, 1, 0)
(22506, 989, 915, 12, 88, 0, 0)
(95353, 1133, 419, 6, 172, 0, 0)
(72449, 473, 600, 14, 179, 0, 0)
(89846, 1755, 303, 6, 145, 0, 0)
(36307, 1281, 1815, 16, 172, 0, 0)
(42057, 352, 1906, 14, 104, 0, 0)
(46699, 1133, 321, 16, 197, 0, 0)
(41143, 1240, 100, 12, 5, 1, 0)
(31485, 915, 679, 4, 170, 0, 0)
(50660, 600, 1240, 12, 30, 0, 0)
(100730, 1875, 112, 14, 102, 0, 0)
(51180, 1222, 1245, 8, 199, 0, 0)
(81458, 1755, 800, 10, 69, 0, 0)
(69495, 1281, 1245, 14, 78, 1, 0)
(105332, 450, 1459, 8, 187, 0, 0)
(19772, 421, 1608, 4, 133, 0, 0)
(96741, 505, 935, 6, 82, 0, 0)
(14189, 1340, 419, 10, 197, 0, 0)
(48678, 1424, 674, 14, 76, 0, 0)
(107345, 1153, 1758, 8, 53, 0, 0)
(67838, 964, 1575, 16, 198, 0, 0)
(40686, 924, 600, 10, 163, 0, 0)
(80050, 1222, 904, 10, 158, 0, 0)
(98877, 600, 1083, 8, 52, 0, 0)
(19777, 100, 391, 12, 138, 0, 0)
(100366, 1084, 800, 10, 113, 0, 0)
(31574, 397, 1992, 8, 82, 0, 0)
(50083, 807, 247, 14, 112, 1, 0)
(77975, 1913, 851, 14, 126, 0, 0)
(95675, 1490, 1672, 16, 101, 1, 0)
(101621, 841, 766, 14, 78, 1, 0)
(31289, 335, 1130, 8, 83, 0, 0)
(23539, 690, 371, 12, 14, 0, 0)
(55097, 470, 1608, 16, 165, 0, 0)
(58373, 473, 297, 6, 105, 0, 0)
(40564, 111, 375, 8, 3, 0, 0)
(84947, 386, 964, 14, 160, 0, 0)
(49885, 1760, 100, 16, 114, 0, 0)
(13521, 1153, 69, 8, 157, 0, 0)
(67639, 731, 1425, 4, 158, 0, 0)
(22277, 1340, 1992, 6, 20, 0, 0)
(101704, 1528, 473, 14, 120, 0, 0)
(22574, 1410, 280, 14, 60, 0, 0)
(11883, 1760, 1836, 8, 158, 0, 0)
